,FID,Id,SPECIES,DATEPLANT,Latitude,Longitude,Rootspace,nearest_st,tree_heigh,tree_sprea,Diameter_a,condition,tree_def_1,tree_def_2,are_over_h,tree_care_,tree_asset,age_class,collected_,date_of_in,inspected,parent,families,parent_name
19,19,0,LIQUIDAMBAR STYRACIFULA 'HAPPIDAZE',2016,42.69401339,-71.14871, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,LIQUIDAMBAR,Altingiaceae
20,20,0,LIQUIDAMBAR STYRACIFULA 'HAPPIDAZE',2016,42.69401935,-71.14863762, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,LIQUIDAMBAR,Altingiaceae
21,21,0,LIQUIDAMBAR STYRACIFULA 'HAPPIDAZE',2016,42.69402381,-71.14855067, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,LIQUIDAMBAR,Altingiaceae
22,22,0,LIRIODENDRON TULIPIFERA,2016,42.69414669,-71.14936596, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,LIRIODENDRON,Magnoliaceae
23,23,0,LIRIODENDRON TULIPIFERA,2016,42.69408685,-71.14936245, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,LIRIODENDRON,Magnoliaceae
24,24,0,METASEQUOIA GLYPTOSTROBOIDES,2016,42.69403581,-71.14935373, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,METASEQUOIA,
25,25,0,METASEQUOIA GLYPTOSTROBOIDES,2016,42.69401758,-71.14928507, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,METASEQUOIA,
26,26,0,METASEQUOIA GLYPTOSTROBOIDES,2016,42.69405961,-71.14923441, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,METASEQUOIA,
27,27,0,CLADASTRIS KETUCKEA,2016,42.69416221,-71.14885064, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,CLADASTRIS,
28,28,0,CLADASTRIS KETUCKEA,2016,42.69410079,-71.14900634, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,CLADASTRIS,
29,29,0,CLADASTRIS KETUCKEA,2016,42.6940715,-71.14905958, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,CLADASTRIS,
30,30,0,CLADASTRIS KETUCKEA,2016,42.69402288,-71.14908075, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,CLADASTRIS,
31,31,0,LIQUIDAMBAR STYRACIFULA 'HAPPIDAZE',2016,42.69392626,-71.14952503, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,LIQUIDAMBAR,Altingiaceae
32,32,0,LIQUIDAMBAR STYRACIFULA 'HAPPIDAZE',2016,42.69393315,-71.14945684, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,LIQUIDAMBAR,Altingiaceae
33,33,0,LIQUIDAMBAR STYRACIFULA 'HAPPIDAZE',2016,42.6939415,-71.14939416, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,LIQUIDAMBAR,Altingiaceae
34,34,0,LIQUIDAMBAR STYRACIFULA 'HAPPIDAZE',2016,42.69395028,-71.14931917, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,LIQUIDAMBAR,Altingiaceae
35,35,0,LIQUIDAMBAR STYRACIFULA 'HAPPIDAZE',2016,42.69396031,-71.14922321, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,LIQUIDAMBAR,Altingiaceae
36,36,0,LIQUIDAMBAR STYRACIFULA 'HAPPIDAZE',2016,42.69397007,-71.14914571, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,LIQUIDAMBAR,Altingiaceae
37,37,0,LIQUIDAMBAR STYRACIFULA 'HAPPIDAZE',2016,42.69397349,-71.14907086, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,LIQUIDAMBAR,Altingiaceae
38,38,0,ACER RUBRUM 'RED SUNSET',2016,42.69402267,-71.1484698, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ACER,Sapindaceae
39,39,0,ACER RUBRUM 'RED SUNSET',2016,42.6940773,-71.14847271, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ACER,Sapindaceae
40,40,0,ACER RUBRUM 'RED SUNSET',2016,42.69412862,-71.14848013, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ACER,Sapindaceae
41,41,0,ACER RUBRUM 'RED SUNSET',2016,42.69417301,-71.14848694, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ACER,Sapindaceae
42,42,0,PLATANUS ACERIFOLIA,2016,42.71420333,-71.15630974, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,PLATANUS,Platanaceae
43,43,0,PLATANUS ACERIFOLIA,2016,42.71421813,-71.15624151, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,PLATANUS,Platanaceae
44,44,0,PLATANUS ACERIFOLIA,2016,42.71423169,-71.15615455, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,PLATANUS,Platanaceae
45,45,0,GLEDITSIA TRIACANTHOS,2016,42.71401384,-71.1561018, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,GLEDITSIA,Fabaceae
46,46,0,GLEDITSIA TRIACANTHOS,2016,42.71395599,-71.15611278, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,GLEDITSIA,Fabaceae
47,47,0,GLEDITSIA TRIACANTHOS,2016,42.71389039,-71.15607922, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,GLEDITSIA,Fabaceae
48,48,0,METASEQUOIA GLYPTOSTROBOIDES,2016,42.7137039,-71.1559995, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,METASEQUOIA,
49,49,0,METASEQUOIA GLYPTOSTROBOIDES,2016,42.71365494,-71.15603529, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,METASEQUOIA,
50,50,0,METASEQUOIA GLYPTOSTROBOIDES,2016,42.71365135,-71.15594972, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,METASEQUOIA,
51,51,0,GLEDITSIA TRIACANTHOS,2016,42.71400823,-71.15629886, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,GLEDITSIA,Fabaceae
52,52,0,GLEDITSIA TRIACANTHOS,2016,42.71394635,-71.1563147, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,GLEDITSIA,Fabaceae
53,53,0,GLEDITSIA TRIACANTHOS,2016,42.71388615,-71.15633538, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,GLEDITSIA,Fabaceae
54,54,0,GLEDITSIA TRIACANTHOS,2016,42.7138309,-71.15633665, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,GLEDITSIA,Fabaceae
55,55,0,GLEDITSIA TRIACANTHOS,2016,42.71376661,-71.15634249, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,GLEDITSIA,Fabaceae
56,56,0,GLEDITSIA TRIACANTHOS,2016,42.71369258,-71.15635614, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,GLEDITSIA,Fabaceae
57,57,0,GLEDITSIA TRIACANTHOS,2016,42.71360687,-71.15636952, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,GLEDITSIA,Fabaceae
58,58,0,PRYUS CHANTICLEAR,2016,42.71437925,-71.15627907, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,PRYUS,
59,59,0,PLATANUS ACERIFOLIA,2016,42.71446506,-71.1558206, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,PLATANUS,Platanaceae
60,60,0,LIRIODENDRON TULIPIFERA,2016,42.69403406,-71.14885112, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,LIRIODENDRON,Magnoliaceae
61,61,0,LIRIODENDRON TULIPIFERA,2016,42.69437254,-71.14854604, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,LIRIODENDRON,Magnoliaceae
62,62,0,LIRIODENDRON TULIPIFERA,2016,42.69434592,-71.14864176, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,LIRIODENDRON,Magnoliaceae
63,63,0,ULMUS AMERICANA,2016,42.69523302,-71.14834996, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ULMUS,Ulmaceae
64,64,0,ULMUS AMERICANA,2016,42.69546532,-71.14837288, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ULMUS,Ulmaceae
65,65,0,PLATANUS ACERIFOLIA,2016,42.71422987,-71.15617018, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,PLATANUS,Platanaceae
66,66,0,Ulmus americana,2017,42.71490979,-71.1662484, ,,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ULMUS,Ulmaceae
67,67,0,Ulmus americana,2017,42.71491607,-71.16613859, ,,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ULMUS,Ulmaceae
68,68,0,Platanus occidentalis,2017,42.71492445,-71.16600098, ,,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,PLATANUS,Platanaceae
69,69,0,Platanus occidentalis,2017,42.71493336,-71.16586978, ,,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,PLATANUS,Platanaceae
70,70,0,Platanus occidentalis,2017,42.71495275,-71.16555604, ,,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,PLATANUS,Platanaceae
71,71,0,Platanus occidentalis,2017,42.71495903,-71.16543197, ,,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,PLATANUS,Platanaceae
72,72,0,Platanus occidentalis,2017,42.71497684,-71.16510255, ,,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,PLATANUS,Platanaceae
73,73,0,Ulmus americana,2017,42.71769454,-71.16974767, ,,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ULMUS,Ulmaceae
74,74,0,Ulmus americana,2017,42.71769978,-71.16963929, ,,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ULMUS,Ulmaceae
75,75,0,Ulmus americana,2017,42.71771026,-71.16949811, ,,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ULMUS,Ulmaceae
76,76,0,Celtis occidentalis,2017,42.71787371,-71.16969348, ,,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,CELTIS,
77,77,0,Celtis occidentalis,2017,42.71787999,-71.16960078, ,,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,CELTIS,
78,78,0,Gymnocladus dioicus,2017,42.71796486,-71.16993591, ,,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,GYMNOCLADUS,
79,79,0,Gymnocladus dioicus,2017,42.71791562,-71.16992878, ,,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,GYMNOCLADUS,
80,80,0,Gymnocladus dioicus,2017,42.71785485,-71.16992308, ,,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,GYMNOCLADUS,
81,81,0,Gymnocladus dioicus,2017,42.71778989,-71.16991452, ,,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,GYMNOCLADUS,
82,82,0,Acer rubrum,2017,42.71383592,-71.16248687, ,,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ACER,Sapindaceae
83,83,0,Acer rubrum,2017,42.71378842,-71.16232715, ,,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ACER,Sapindaceae
84,84,0,Acer rubrum,2017,42.71374511,-71.16218264, ,,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ACER,Sapindaceae
85,85,0,Quercus rubra,2017,42.71381793,-71.16214675, ,,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,QUERCUS,Fagaceae
86,86,0,Quercus rubra,2017,42.7137245,-71.16183658, ,,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,QUERCUS,Fagaceae
87,87,0,Quercus rubra,2017,42.71364591,-71.16187223, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,QUERCUS,Fagaceae
88,88,0,Quercus rubra,2017,42.7136529,-71.16159177, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,QUERCUS,Fagaceae
89,89,0,Quercus rubra,2017,42.7135586,-71.16162029, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,QUERCUS,Fagaceae
90,90,0,Quercus rubra,2017,42.71352891,-71.16145154, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,QUERCUS,Fagaceae
91,91,0,Acer rubrum,2017,42.71347128,-71.16121386, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ACER,Sapindaceae
92,92,0,Acer rubrum,2017,42.71349189,-71.16104463, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ACER,Sapindaceae
93,93,0,Tilia tomentosa,2017,42.7132266,-71.16046648, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,TILIA,Malvaceae
94,94,0,Tilia tomentosa,2017,42.71328598,-71.16049786, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,TILIA,Malvaceae
95,95,0,Quercus bicolor,2017,42.71311833,-71.16036666, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,QUERCUS,Fagaceae
96,96,0,Quercus bicolor,2017,42.71301354,-71.16034194, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,QUERCUS,Fagaceae
97,97,0,Quercus bicolor,2017,42.7128913,-71.16031722, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,QUERCUS,Fagaceae
98,98,0,Cladrastis kentukea,2017,42.71295863,-71.15998923, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,CLADRASTIS,
99,99,0,Cladrastis kentukea,2017,42.71291148,-71.1597468, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,CLADRASTIS,
100,100,0,Cladrastis kentukea,2017,42.7129141,-71.15948654, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,CLADRASTIS,
101,101,0,Styphnolobium japonicum,2017,42.71304246,-71.1588555, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,STYPHNOLOBIUM,
102,102,0,Styphnolobium japonicum,2017,42.71300055,-71.15871645, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,STYPHNOLOBIUM,
103,103,0,Styphnolobium japonicum,2017,42.71300055,-71.15860593, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,STYPHNOLOBIUM,
104,104,0,Betula nigra,2017,42.712901,-71.16023166, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,BETULA,Betulaceae
105,105,0,Platanus acerifolia,2017,42.71303984,-71.15988227, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,PLATANUS,Platanaceae
106,106,0,Tilia tomentosa,2017,42.71319439,-71.16016392, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,TILIA,Malvaceae
107,107,0,Tilia tomentosa,2017,42.71311843,-71.16015323, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,TILIA,Malvaceae
108,108,0,Tilia tomentosa,2017,42.71307127,-71.16011758, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,TILIA,Malvaceae
109,109,0,Tilia tomentosa,2017,42.71308961,-71.16000706, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,TILIA,Malvaceae
110,110,0,Betula nigra,2017,42.71309747,-71.16026375, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,BETULA,Betulaceae
111,111,0,Platanus acerifolia,2017,42.71302063,-71.15979909, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,PLATANUS,Platanaceae
112,112,0,Platanus acerifolia,2017,42.71299951,-71.15963664, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,PLATANUS,Platanaceae
113,113,0,Platanus acerifolia,2017,42.71301291,-71.1594265, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,PLATANUS,Platanaceae
114,114,0,Quercus bicolor,2017,42.71309949,-71.15872012, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,QUERCUS,Fagaceae
115,115,0,Quercus bicolor,2017,42.71313589,-71.15864396, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,QUERCUS,Fagaceae
116,116,0,Quercus bicolor,2017,42.71310096,-71.15861306, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,QUERCUS,Fagaceae
117,117,0,Cladrastis kentukea,2017,42.71339605,-71.16978184, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,CLADRASTIS,
118,118,0,Cladrastis kentukea,2017,42.71344408,-71.16967192, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,CLADRASTIS,
119,119,0,Cladrastis kentukea,2017,42.7134288,-71.16947583, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,CLADRASTIS,
120,120,0,Gleditsia inermis,2017,42.71349429,-71.16894699, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,GLEDITSIA,Fabaceae
121,121,0,Gleditsia inermis,2017,42.71348337,-71.16902424, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,GLEDITSIA,Fabaceae
122,122,0,Platanus occidentalis,2017,42.71362308,-71.16862612, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,PLATANUS,Platanaceae
123,123,0,Platanus occidentalis,2017,42.71360562,-71.16853997, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,PLATANUS,Platanaceae
124,124,0,Gymnocladus dioicus,2017,42.71364491,-71.16835576, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,GYMNOCLADUS,
125,125,0,Gymnocladus dioicus,2017,42.71364055,-71.16828149, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,GYMNOCLADUS,
126,126,0,Gymnocladus dioicus,2017,42.71363618,-71.16819236, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,GYMNOCLADUS,
127,127,0,Platanus occidentalis,2017,42.71362308,-71.16847757, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,PLATANUS,Platanaceae
128,128,0,Cladrastis kentukea,2017,42.71356851,-71.16828446, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,CLADRASTIS,
129,129,0,Cladrastis kentukea,2017,42.71355978,-71.16836765, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,CLADRASTIS,
130,130,0,Gymnocladus dioicus,2017,42.71358161,-71.168127, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,GYMNOCLADUS,
131,131,0,Betula nigra,2017,42.71367547,-71.16777642, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,BETULA,Betulaceae
132,132,0,Betula nigra,2017,42.7136973,-71.16761896, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,BETULA,Betulaceae
133,133,0,Betula nigra,2017,42.71370385,-71.16748823, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,BETULA,Betulaceae
134,134,0,Gymnocladus dioicus,2017,42.7136078,-71.16786258, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,GYMNOCLADUS,
135,135,0,Gymnocladus dioicus,2017,42.71363618,-71.16760113, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,GYMNOCLADUS,
136,136,0,Prunus sargentii,2017,42.71355978,-71.16723273, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,PRUNUS,
137,137,0,Prunus sargentii,2017,42.71370822,-71.16732483, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,PRUNUS,
138,138,0,Prunus sargentii,2017,42.71343317,-71.16864692, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,PRUNUS,
139,139,0,Prunus sargentii,2017,42.71351175,-71.16866178, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,PRUNUS,
